mid,ln_ratio,mapname,approved,sr
192345,0.10190735694822889,FamiRockP - Oni Kanojo (Entozer) [Hard],1,3.39962
192492,0.06540084388185655,nayuta - Toki wo Kizamu Uta (Hanyuu) [7K HD],1,3.08268
192564,0.13533834586466165,FamiRockP - Oni Kanojo (Entozer) [Insane],1,4.17547
193128,0.13135593220338984,fripSide - only my railgun (TV Size) (DJPop) [4K MX],1,3.1685
193130,0.038461538461538464,fripSide - only my railgun (TV Size) (DJPop) [7K HD],1,3.18049
193131,0.10988074957410562,fripSide - only my railgun (TV Size) (DJPop) [7K MX],1,5.0014
196931,0.26281090800119866,FamiRockP - Oni Kanojo (Entozer) [Extra],1,5.54378
204359,0.08535300316122234,sakuzyo - ChaiN DestructioN (siilento's solid remix) (Entozer) [Hard],1,2.55086
204360,0.19915029208709506,sakuzyo - ChaiN DestructioN (siilento's solid remix) (Entozer) [Another],1,5.05698
204361,0.11726147123088128,sakuzyo - ChaiN DestructioN (siilento's solid remix) (Entozer) [Insane],1,3.36454
210180,0.27939356435643564,rerulili - Nou Shou Sakuretsu Girl (Entozer) [Insane],4,6.29371
214145,0.1529790660225443,rerulili - Nou Shou Sakuretsu Girl (Entozer) [Hard],4,4.78922
215152,0.1643002028397566,rerulili - Nou Shou Sakuretsu Girl (Entozer) [Normal],4,3.20576
217377,0.03926878808395396,C-SHOW - Workaholic (Agka) [Extra],1,4.47144
217406,0.04339152119700748,C-SHOW - Workaholic (Agka) [Hard],1,2.79985
217670,0.20147255689424365,Y&Co. feat. Karin - Sweet Rain (chonicle) [Another],1,4.5478
217675,0.0738073807380738,Y&Co. feat. Karin - Sweet Rain (chonicle) [Insane],1,3.61381
218060,0.03205128205128205,C-SHOW - Workaholic (Agka) [Insane],1,4.19472
219358,0.03205128205128205,"senya - Utakata, Ai no Mahoroba (Lieselotte) [LV.14]",1,2.59082
219359,0.07838479809976247,"senya - Utakata, Ai no Mahoroba (Lieselotte) [LV.21]",1,3.80045
219360,0.07370336669699727,"senya - Utakata, Ai no Mahoroba (Lieselotte) [LV.28]",1,4.91324
220960,0.23500545256270447,bj.HaLo - Ende (Loctav) [SHD],1,5.15663
222330,0.07261410788381743,nayuta - Toki wo Kizamu Uta (Hanyuu) [4K MX],1,3.0319
222331,0.043512658227848104,nayuta - Toki wo Kizamu Uta (Hanyuu) [7K MX],1,3.473
222593,0.029818956336528223,Danny Baranowsky - The Battle of Lil' Slugger (Ch 1 Boss Extended Cut) (250bpm) (Staiain) [Insane],4,5.15772
222950,0.06417112299465241,Ci Mei Gui - Wu Xuan Lan (luyuja) [4K Hard],1,2.69843
223266,0.062320230105465,Ci Mei Gui - Wu Xuan Lan (luyuja) [7K FEVER],1,3.85117
224688,0.06856540084388185,Wotamin - Gigantic O.T.N (Star Stream) [L i a's Mania],1,5.10584
225251,0.05362215909090909,Wotamin - Gigantic O.T.N (Star Stream) [Entozer's Another],1,5.00952
228210,0.12221514958625079,masaki - Rhythmical Planet (ljqandylee) [Collab],1,5.38293
230491,0.1506740681998414,Yooh - Dynasty (HelloSCV) [Entozer's Insane],1,4.98137
232025,0.13736979166666666,Rissyu - uni (HanzeR) [Insane],1,3.59485
233144,0.19368723098995697,ALTIMA - Burst The Gravity (TV Size) (Zeroarg) [Entozer's 7K MX],1,3.1242
233388,0.20442571127502634,The Quick Brown Fox - Big Money (ishimaru94) [MX],1,4.9855
233389,0.09615384615384616,The Quick Brown Fox - Big Money (ishimaru94) [NM],1,2.68541
233390,0.008354755784061696,The Quick Brown Fox - Big Money (ishimaru94) [Saka's HD],1,3.73134
235027,0.02976190476190476,Ikareru Kin no Shishi - G59 (PROGUY) [Level 18],1,3.23278
235028,0.03748680042238648,Ikareru Kin no Shishi - G59 (PROGUY) [Level 36],1,5.00683
238273,0.0,TAG meets eimy - Kono aozora no shita de (Cirno) [ADVANCED],4,2.72006
238274,0.0,TAG meets eimy - Kono aozora no shita de (Cirno) [EXHAUST],4,4.81978
239327,0.0,DJ SHARPNEL - BLUE ARMY (Agkaemon) [4k KBSM],4,3.14831
239841,0.09480997139354311,xi - Akasha (luyuja) [7K Hard],1,4.20146
240122,0.021709633649932156,kors k - smooooch (DJPop) [4K HD],1,2.51742
241082,0.061899679829242264,KANON NAKAGAWA starring Nao Toyama - Natsuiro Surprise (HanzeR) [Hard],1,2.66597
244555,0.125,Nekomata Master - Far east nightbird (Lieselotte) [LV.23],1,3.8904
244597,0.058624577226606536,Nekomata Master - Far east nightbird (Lieselotte) [LV.13],1,2.66887
245086,0.09986504723346828,MiddleIsland - Piano Concerto No.1 Scream (Lieselotte) [LV.31],1,4.75279
245873,0.06875,MiddleIsland - Piano Concerto No.1 Scream (Lieselotte) [LV.23],1,3.81433
246231,0.09339622641509433,MiddleIsland - Piano Concerto No.1 Scream (Lieselotte) [LV.16],1,3.15324
249346,0.0096403411197627,Yuuna Sasara feat. Tai no Kobone - Imperishable Night 2006 (xxbidiao) [7K Lunatic],1,7.26333
249408,0.0,Yuuna Sasara feat. Tai no Kobone - Imperishable Night 2006 (xxbidiao) [7K Hard],1,3.27606
249413,0.012265512265512266,xi - Akasha (luyuja) [8K FEVER],1,6.29809
249672,0.00036859565057132326,xi - Akasha (luyuja) [8K Hard],1,4.13296
250315,0.0863066538090646,masaki - Rhythmical Planet (ljqandylee) [Hard],1,3.25937
251200,0.046012269938650305,Tamura Yukari - Fantastic future (TV Size) (Betsuto) [MX],1,3.11181
