epoch,lr-Adam,step,train/nll_loss,val/rmse_loss
,0.00328141592920354,49,,
0,,49,0.0575530878690101,
,0.005405309734513274,99,,
0,,99,0.047263671392711426,
,0.007529203539823008,149,,
0,,149,0.04259190900207959,
,0.009653097345132743,199,,
0,,199,0.032475529752050654,
,0.011776991150442478,249,,
0,,249,0.03117914280259676,
,0.013900884955752212,299,,
0,,299,0.02523111764962358,
,0.016024778761061946,349,,
0,,349,0.023919581919293675,
,0.01814867256637168,399,,
0,,399,0.02238202245072747,
,0.020272566371681414,449,,
0,,449,0.0191600406282042,
,0.02239646017699115,499,,
0,,499,0.014943671597913315,
,0.024520353982300885,549,,
0,,549,0.017275133551970315,
,0.02664424778761062,599,,
0,,599,0.015108408468931932,
,0.028768141592920352,649,,
0,,649,0.013015090086109647,
0,,678,,0.019856970821374123
,0.029107964601769912,699,,
1,,699,0.01237304029940315,
,0.026984070796460174,749,,
1,,749,0.014135997925420557,
,0.02486017699115044,799,,
1,,799,0.012174630649059034,
,0.022736283185840707,849,,
1,,849,0.013610823121145305,
,0.020612389380530973,899,,
1,,899,0.01075962373155465,
,0.01848849557522124,949,,
1,,949,0.01298177767758181,
,0.016364601769911502,999,,
1,,999,0.012279224703006929,
,0.014240707964601768,1049,,
1,,1049,0.010222790738027962,
,0.012116814159292034,1099,,
1,,1099,0.012173814995218198,
,0.0099929203539823,1149,,
1,,1149,0.011474066929478263,
,0.007869026548672567,1199,,
1,,1199,0.011715673761336316,
,0.00574513274336283,1249,,
1,,1249,0.012147218817352331,
,0.003621238938053096,1299,,
1,,1299,0.01032226656195642,
,0.001497345132743362,1349,,
1,,1349,0.011121533256520183,
1,,1357,,0.018307687079162534
,0.0011905034345665378,1399,,
2,,1399,0.009602829565325719,
,0.0011794609166206516,1449,,
2,,1449,0.0113014190513572,
,0.0011684183986747651,1499,,
2,,1499,0.010398495939869048,
,0.001157375880728879,1549,,
2,,1549,0.010771657243700597,
,0.0011463333627829927,1599,,
2,,1599,0.011062292268346458,
,0.0011352908448371065,1649,,
2,,1649,0.01063957938080591,
,0.0011242483268912203,1699,,
2,,1699,0.009292926886780963,
,0.001113205808945334,1749,,
2,,1749,0.011238648030398188,
,0.0011021632909994478,1799,,
2,,1799,0.01167674303175927,
,0.0010911207730535614,1849,,
2,,1849,0.011292159651237211,
